,pvalues
TRBV1-1,0.130017945036189
TRBV2-1,0.55971157362942
TRBV4-1,0.402776559978746
TRBV4-2,0.925343995656542
TRBV4-3,0.694504064476435
TRBV5-1,0.974381891984234
TRBV5-2,0.895152740119712
TRBV5-3,0.307716131129125
TRBV5-4,0.437934973574176
TRBV5-5,0.130017945036189
TRBV5-6,0.00092374564800117
TRBV5-7,0.00293625018362333
TRBV5-8,0.363608029774253
TRBV6-1,8.39011333527496e-06
TRBV6-2,0.133131968926918
TRBV6-4,6.26830624338301e-08
TRBV6-5,0.0255108116643106
TRBV6-6,1.00218106946489e-07
TRBV6-7,3.63429947043169e-06
TRBV6-8,0.315707256790825
TRBV6-9,0.081888968313397
TRBV7-1,0.418119731545429
TRBV7-2,0.664792139914895
TRBV7-3,0.497040158774024
TRBV7-4,0.0126508871409342
TRBV7-5,0.622266121320196
TRBV7-6,0.983997059446937
TRBV7-7,0.00504950660710497
TRBV7-8,0.974381891984234
TRBV7-9,0.55971157362942
TRBV8-1,0.974381891984234
TRBV8-2,0.50431776886556
TRBV9-1,0.413512560875976
TRBV10-1,0.0504837557921636
TRBV10-2,0.0126508871409342
TRBV10-3,0.664792139914895
TRBV11-1,0.2180491177523
TRBV11-2,0.200179899793301
TRBV11-3,0.958494903502348
TRBV12-1,0.00550154020225346
TRBV12-2,0.000898478100485699
TRBV12-4,7.05329008822546e-07
TRBV12-5,0.00185128731460686
TRBV13-1,0.00170364563198183
TRBV14-1,0.0001245898555895
TRBV15-1,0.0164745802609272
TRBV16-1,0.517320879265759
TRBV17-1,0.00205491294681018
TRBV18-1,0.481669867154475
TRBV19-1,0.497040158774024
TRBV20-1,0.622266121320196
TRBV21-1,0.000300421514823898
TRBV22-1,0.55971157362942
TRBV23-1,0.0127424172675827
TRBV24-1,7.46284008213718e-05
TRBV25-1,7.05329008822546e-07
TRBV26-1,0.418119731545429
TRBV27-1,0.554054370092441
TRBV28-1,0.50431776886556
TRBV29-1,0.115252693149954
TRBV30-1,0.0612400928995198
