,pvalues
TRBV1-1,0
TRBV2-1,0
TRBV4-1,0
TRBV4-2,0
TRBV4-3,0
TRBV5-1,0
TRBV5-2,0
TRBV5-3,0
TRBV5-4,0
TRBV5-5,0
TRBV5-6,0
TRBV5-7,0
TRBV5-8,0
TRBV6-1,0
TRBV6-2,0
TRBV6-4,1
TRBV6-5,0
TRBV6-6,1
TRBV6-7,0
TRBV6-8,0
TRBV6-9,0
TRBV7-1,0
TRBV7-2,0
TRBV7-3,0
TRBV7-4,0
TRBV7-5,0
TRBV7-6,0
TRBV7-7,0
TRBV7-8,0
TRBV7-9,0
TRBV8-1,0
TRBV8-2,0
TRBV9-1,0
TRBV10-1,0
TRBV10-2,0
TRBV10-3,0
TRBV11-1,0
TRBV11-2,0
TRBV11-3,0
TRBV12-1,0
TRBV12-2,0
TRBV12-4,1
TRBV12-5,0
TRBV13-1,0
TRBV14-1,0
TRBV15-1,0
TRBV16-1,0
TRBV17-1,0
TRBV18-1,0
TRBV19-1,0
TRBV20-1,0
TRBV21-1,0
TRBV22-1,0
TRBV23-1,0
TRBV24-1,0
TRBV25-1,1
TRBV26-1,0
TRBV27-1,0
TRBV28-1,0
TRBV29-1,0
TRBV30-1,0
