,jgene,Subject_100,Subject_101,Subject_102,Subject_103,Subject_104,Subject_105,Subject_106,Subject_12,Subject_13,Subject_14,Subject_15,Subject_151,Subject_152,Subject_153,Subject_154,Subject_155,Subject_156,Subject_157,Subject_158,Subject_16,Subject_17,Subject_18,Subject_19,Subject_22,Subject_24,Subject_26,Subject_27,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57,Subject_58,Subject_59,Subject_60,Subject_61,Subject_62,Subject_63,Subject_64,Subject_65,Subject_66,Subject_67,Subject_68,Subject_69,Subject_70,Subject_71,Subject_72,Subject_73,Subject_74,Subject_75,Subject_76,Subject_77,Subject_78,Subject_79,Subject_80,Subject_81,Subject_82,Subject_83,Subject_84,Subject_85,Subject_86,Subject_87,Subject_88,Subject_89,Subject_90,Subject_91,Subject_92,Subject_93,Subject_94,Subject_95,Subject_96,Subject_97,Subject_98,Subject_99
1,TRBJ1-1,0.222969422114954,0.138137082601054,0.146183913530178,0.150208319979489,0.1210335267156,0.152999269743019,0.152209470139509,0.103262766487186,0.150005661540526,0.113250204585489,0.138637789603327,0.163525207581544,0.139895497033178,0.147467486283275,0.173833381047809,0.0970748374909718,0.103297638465357,0.153346343703363,0.170685499469335,0.111242964391374,0.15125491218762,0.120131289320449,0.127484918936081,0.129406468916752,0.13722967254512,0.105481271584167,0.125068765098424,0.139863264291073,0.130866858237548,0.14694873972113,0.172508232685523,0.113773935580678,0.149042788295125,0.122769903853711,0.104321347445486,0.146656729286774,0.108610158543188,0.211115785045746,0.137499232705175,0.117784070591192,0.108014602021536,0.150400026017952,0.127234376969328,0.149937788546543,0.129721075056096,0.124964551168327,0.17914525185547,0.155410664907221,0.172959191163877,0.120759048911528,0.120828722226951,0.215251850396279,0.0872173487203508,0.121180001622367,0.171823585432334,0.093101216670981,0.124652991198979,0.119625521848735,0.120141904498942,0.141721073844486,0.109220917303119,0.134098518647757,0.0995001597662848,0.112417717203738,0.142557767606022,0.0968831677680461,0.16636016689407,0.128300718979179,0.100463505891551,0.131438454682633,0.141451783050256,0.14391693282604,0.126919448868821,0.17485968741474,0.116434059039778,0.144590862389126,0.0807308324956593,0.14548339551991,0.134596360139493,0.132006384377053,0.12821136521443,0.157776402379719,0.139002855215713,0.12966621384769,0.194425950382554,0.147126585555268,0.0883105333508339,0.125051400995735
2,TRBJ1-2,0.135644354477685,0.113014522245861,0.156965114785385,0.136286135504134,0.110448251546524,0.126181451472685,0.138725860765583,0.0772900097264041,0.100699934158381,0.0686713732887637,0.116968373109009,0.139018323231615,0.119888573107796,0.121189798821378,0.162596621815059,0.0832407355964221,0.0757676760513439,0.146343703363563,0.155211918624835,0.112627423834129,0.141403559256495,0.109063021996035,0.127618062454552,0.102276030872244,0.119608072495579,0.0896838749667936,0.100356382597049,0.124191767195232,0.129896617783062,0.128938371469432,0.129872082153041,0.10853922621788,0.132960566605426,0.117333839826046,0.0845312865990838,0.131275711143748,0.0991393641173732,0.110641593131866,0.0981600270087779,0.112990364263693,0.0911599068112194,0.130057239495252,0.121069683647067,0.146164172751383,0.115391868954926,0.137310637287555,0.145126500477646,0.140765506964883,0.130853515902183,0.125285828484318,0.106192006469737,0.127278880373791,0.115711365668782,0.0940378011518806,0.164671110965157,0.071667098110277,0.10326171386887,0.116217530108104,0.105461984487562,0.1749687698871,0.111635513639426,0.125408140375365,0.0783995983019127,0.143383813001473,0.137710252026692,0.091493336773651,0.124267531457423,0.128736136800363,0.0997710392583905,0.113110312999126,0.106958046977897,0.125729022187724,0.119001963907403,0.163391082355692,0.151468289783609,0.161802825929173,0.0836208078223522,0.136653344132995,0.168657186596736,0.14852618354637,0.0941749848525724,0.152858652587082,0.135817996480427,0.0978260403765969,0.0721177459316096,0.135115195443955,0.180081913859193,0.112191806426399
3,TRBJ1-3,0.0692868404149717,0.0360743686985478,0.0422439579395518,0.0454009358374464,0.0427698003141126,0.0457627708036305,0.0402309119648135,0.0354664718283313,0.0377771533774235,0.0249802349612327,0.0349673506378826,0.0413411344287566,0.0460843591746037,0.0375558829506199,0.0384053821929574,0.0289182732374021,0.0299978724913127,0.0430260590058547,0.0504974359483024,0.0351059358698609,0.0445626466911864,0.043644722668873,0.0387806102069869,0.0358144289291307,0.0391996311918146,0.0339856548304259,0.0330311655385204,0.0440386771536717,0.0348419540229884,0.0435455398641402,0.02919138821164,0.0336590106910839,0.0413238544079666,0.040128631683739,0.0305321472733512,0.0452662267914684,0.0401867560866715,0.0364057017753516,0.0447563071634645,0.0341841517749277,0.0380349641369948,0.0424295889163522,0.042578272699639,0.0473830260960676,0.0401933653812847,0.0360951545569062,0.0406971466610185,0.0455960738670482,0.0298126189788737,0.0425535870312877,0.0444688005448199,0.0319261588174931,0.0712483498701188,0.0403753075737501,0.0350924435979113,0.0254983173699197,0.0322659083694132,0.035372949566734,0.0344176979007171,0.0434723171565277,0.0390515303265183,0.0333449648147686,0.0276281553841239,0.0363994840741274,0.0475045497159874,0.0333471901683366,0.0356792100874678,0.0433762513764241,0.0337521639582286,0.0397977462651007,0.0366472537967453,0.0622494814664003,0.038141555971361,0.0398088241025841,0.0407687058357365,0.0530969280509761,0.0230284199945171,0.0455643929837607,0.0407591424829088,0.0378725896517653,0.0421253278257139,0.0542468221989247,0.0471795235897618,0.0574023046628927,0.0256436843081826,0.0480779187160238,0.0479991642536276,0.0474146573550152
4,TRBJ1-4,0.0309525663234522,0.0383637036351864,0.04520764134843,0.0489584001025575,0.0494126414308151,0.0484751538755782,0.0485464916500584,0.0434988993805816,0.0332772770925683,0.0365479839660458,0.049072804591825,0.0506078548155414,0.0576215511203073,0.0543334688071531,0.0498425422273118,0.0410439468859381,0.0401389972342387,0.063804385260016,0.0631242746758979,0.0541422532077431,0.0524131543213762,0.0496667030925581,0.0434969633035979,0.0454362158056137,0.0435207420200504,0.043752767200921,0.0471477433088569,0.0494592111142022,0.0518108402695204,0.0507854397568823,0.0331045562805643,0.0473766774089041,0.0479963788375003,0.0454337062167614,0.0422983271324839,0.0535412876213859,0.0396262978408108,0.0323186646143845,0.0384529801731018,0.0377117784070591,0.0403243263074863,0.0450517106803694,0.0470414661813006,0.0575210372941293,0.046524696038396,0.0432970381264551,0.0544645828920692,0.0573166482567406,0.0310849894540062,0.0500920228290978,0.0475653358304247,0.0320025763629616,0.0284035259549462,0.0458264608063164,0.0452136218843388,0.0294848563292777,0.0342449561299822,0.042444532428545,0.0425085971033409,0.0419921276545596,0.0396521358017678,0.0496664257288369,0.0354110558269047,0.0389755989554962,0.0662218055478961,0.0387370211627318,0.0475898571645146,0.0563308311802342,0.0448427989054559,0.0402830846341872,0.0415847393619346,0.0415123790618465,0.0424405028840057,0.0596474646295358,0.067790080788958,0.0501889922612147,0.0265352279996344,0.0497868837221654,0.0487064844341525,0.0668392415646195,0.0314933815692293,0.0552236355139007,0.0497050962811195,0.0588464686547848,0.0259438338372207,0.0459228578824748,0.0459312277167784,0.047520008156191
5,TRBJ1-5,0.0567228526383401,0.0845065211358802,0.0837768153707815,0.0899750016024613,0.0884323215487675,0.0796397398894183,0.0914919936774105,0.0845312943563588,0.0772024441080139,0.181935448076897,0.0900587920897916,0.0938583890971516,0.0990523883517032,0.0860724446250763,0.0740767248783281,0.0716150897272072,0.0774980497837032,0.0785443691883825,0.098247319400498,0.0794168788680397,0.0923940900874977,0.0820324086360585,0.0701461506160449,0.0779214689636416,0.0878602932575533,0.0825024351368105,0.0846085771006243,0.0831457643121487,0.0727102325274144,0.0863145781194137,0.0853333709147795,0.0716916466315412,0.0882019330617461,0.0744478792800817,0.0739417247258643,0.104956268221574,0.0810717101575932,0.103557395386189,0.0801976551470138,0.0782456581198234,0.0655219855814209,0.0798710485234812,0.0930338594761308,0.0910456435611145,0.0857019694479619,0.0795900466275795,0.0870093324630526,0.103253738203438,0.0768022393720363,0.0723076351062445,0.0868785647399335,0.0609102421344512,0.0521973342417919,0.0851904929291838,0.0697251321795672,0.0610341703339373,0.074352756820285,0.0785040920959651,0.0781771630814026,0.0595139887335894,0.0662411025168616,0.0967697714413898,0.0693043319486922,0.0896438775976411,0.0981359951469696,0.0837717349235246,0.0771456631930026,0.0889367888475462,0.0752108114145306,0.0858695939923934,0.132207262036291,0.0813578157540899,0.10894273740857,0.0880948668979226,0.090761001166707,0.0838682615539783,0.119140089554967,0.0975820265299891,0.0924334451561558,0.0975227007524444,0.0672590011100743,0.131751906259605,0.0900939736184153,0.191683843790309,0.313388851900765,0.0719712658555526,0.0532440084753254,0.078924742145418
6,TRBJ1-6,0.0560318819705316,0.040320044399223,0.0531444405703484,0.0495032369719889,0.0586196672970287,0.0481969607399938,0.0535564566009209,0.0412325075972989,0.0355838306402573,0.0257847067145651,0.0642530151279251,0.0557404617594506,0.0552625858445981,0.0529236943710628,0.053721729172631,0.0417662092338464,0.0374016027232111,0.0599931121570428,0.0634516004245316,0.0359547413615499,0.0497333705025944,0.0516766317498478,0.0497905550036358,0.0427166074292199,0.0558372840304679,0.03694323917471,0.0527828936353417,0.049240029336638,0.0388467763244814,0.0529082499106185,0.0393759600885043,0.0446655412894095,0.0509199350320845,0.0444578344816746,0.0417100181395272,0.0569207274746633,0.0469360032677565,0.0390156693658639,0.0408661223988705,0.0433173220964733,0.0409333553464312,0.047023383634708,0.0522979515276428,0.0556219508202089,0.0573129755714556,0.0547132107078555,0.0548795511426756,0.0633474434914116,0.0371483241412723,0.0482562138647729,0.0601589767600238,0.0369806336106199,0.0526178512115147,0.0538030987210341,0.0420675839873896,0.0549314004659591,0.0418977244327969,0.0508893354917281,0.050883974664692,0.0429773493294365,0.0378543775211227,0.0413000672964283,0.0298991190030584,0.0443351831220544,0.0654166436883031,0.0407868770994299,0.0650702312919789,0.0687168488704327,0.0405763109398559,0.0462306857389939,0.0429267866394512,0.0450286518974724,0.0546878624336988,0.0772255135050864,0.0497336385849825,0.050632016514436,0.0351765969112675,0.0596194447026331,0.0539512879889024,0.0597708241122005,0.0443100954840764,0.0740315022294079,0.0591633152959434,0.080024683633808,0.0233079752458497,0.0511584260937095,0.032738756934418,0.0442371412550339
7,TRBJ2-1,0.102798917803686,0.129733604661918,0.102503991338337,0.100435869495545,0.113845796339626,0.0912960322704038,0.0984124802419078,0.149912276211263,0.143689898553581,0.112390252021582,0.112134873236818,0.0999719721122516,0.115524889901535,0.127362324730746,0.102304609218437,0.170065003611311,0.171718317849798,0.094317529560326,0.0962536080224567,0.147519098123563,0.104102407309155,0.124194077150038,0.113008121754627,0.15834685322555,0.12048880846057,0.150438324625874,0.144853978808391,0.13276514672534,0.148772955476285,0.104218805863425,0.118621136744789,0.144969052125428,0.108256783023138,0.115244557386498,0.143765286501032,0.0984969712912018,0.127964966609988,0.116196139542443,0.123791510650052,0.153466255593463,0.166995028708749,0.107511057629765,0.116361830057606,0.0862406273533938,0.113852335664443,0.126863949032824,0.0917295963136985,0.0875632918430437,0.120884982602781,0.0896432488706289,0.112204179790585,0.112988799371193,0.0884576076310523,0.150566476489197,0.0847985287839479,0.176702045042713,0.148050334006525,0.109501781678035,0.116364199235255,0.109991279138285,0.178006476799585,0.123285395013418,0.131071118820468,0.152205161367414,0.0724425081343406,0.141602519077039,0.115580075537363,0.11803781297905,0.150254090579103,0.14839000026473,0.0727888990842868,0.0945194497817705,0.101605146365225,0.084591924231204,0.114133665000991,0.0913666826909482,0.184467239331079,0.103251848999482,0.0968658291929413,0.093047377621596,0.102715038189208,0.083138602230671,0.107286125071634,0.0715825380432221,0.0810731164252737,0.1073453274657,0.0450419078589624,0.143453807072097
8,TRBJ2-2,0.0648198610273079,0.0678521875867173,0.0639852825133503,0.0703480546118838,0.0694533478637136,0.0631150676357062,0.0611641811559343,0.0758752600300634,0.0657619385114762,0.115372345589969,0.0662456719261962,0.0694566093262796,0.0653988905617237,0.0656751676488519,0.0540795877469224,0.0852547363742431,0.0765619459612794,0.0549190678452532,0.0663082615035163,0.0632813336959299,0.0572871235488252,0.0676038528185834,0.0903788445190959,0.0641077340035448,0.0654840951470072,0.0742849552820331,0.074936018560597,0.0633772539895299,0.0758191306645528,0.0649468180193064,0.0661433450305584,0.0717172233873855,0.0637484357110525,0.059495428466637,0.0805111751472135,0.0685021591880577,0.0653456317504346,0.0611239113184638,0.117768246270947,0.0553885704897119,0.0739933593821657,0.0636830037726031,0.0615505519680311,0.0590845093480895,0.0632517252394936,0.0661030027633601,0.0521303864824092,0.0523348481366437,0.0684780002251116,0.108405681247792,0.0677353792457648,0.0849435601842755,0.186092066601371,0.0737906605737772,0.0538307444747299,0.0732397100698939,0.0601617010354541,0.0733219399491809,0.0730063505610081,0.0573267023357768,0.060681443725702,0.0565289997756785,0.0661945953348245,0.0570013741622355,0.068284343462196,0.0726910451398345,0.0689196047800782,0.0633622892181911,0.0765510694141955,0.0661648562074778,0.0593933946305625,0.0659057265620693,0.0651491487157282,0.053094672019332,0.0669315605256785,0.0528895549962768,0.079485744311432,0.0792248144361382,0.0896259001552992,0.0597439989985291,0.071778905051059,0.0567604323240999,0.0673232479473382,0.0550967846995754,0.0330655635716703,0.0644900336526016,0.122056471810972,0.0715467876501674
10,TRBJ2-3,0.0899040426650057,0.0873693460364445,0.0971592681628833,0.101935773347862,0.101325362992404,0.122926591786348,0.0883513160607519,0.0997072771187506,0.0848602018863415,0.0856901119325353,0.0812225501359422,0.0826997862873558,0.0751889990097177,0.0789219670798619,0.0913684511880904,0.0960747819323296,0.0978937663995462,0.0747790150384571,0.0745310810676771,0.110385918069668,0.0825427371563717,0.0970815055341336,0.102679257264003,0.0833981975561036,0.0876538707657587,0.0920658815195254,0.0873400464014925,0.0842501032683376,0.0724005813185361,0.088163657490168,0.0960910598437552,0.0879499377632274,0.0806667199190563,0.0954520447460115,0.0968857754511731,0.0840512359616242,0.101248207008578,0.0729978298071683,0.0877017985390707,0.0928200717123003,0.0919817291288317,0.0916482372837258,0.0845930857570748,0.0810467895615729,0.0856557834492475,0.0831448224920364,0.0678473089741206,0.0758686643289768,0.092961344406219,0.0855115167964902,0.095380735506938,0.103038143271981,0.0696567729847123,0.114074034015629,0.0882598272634724,0.103455863318664,0.0764466298775423,0.0905272864868116,0.103161056586092,0.115855469394489,0.0903018448327639,0.0804026154216827,0.0818973387501712,0.0706762213701557,0.0906358572767882,0.0924442023480168,0.06463519935668,0.102089285842803,0.0886915731278271,0.0793484111786664,0.0572898135490597,0.0946679052090888,0.0944221937000325,0.0763777916358109,0.0941840755497831,0.0790138468644252,0.0752021840445947,0.0930939703363387,0.0839389635295483,0.0935436422245172,0.10654059289464,0.0662675205362369,0.0917726173148801,0.0700312402240383,0.0780225057574137,0.104161273621538,0.0484759682737819,0.098013627635894
11,TRBJ2-4,0.00979523911477898,0.0139765054111553,0.0124327895326005,0.0112941478110377,0.0139347414981249,0.0129498904614529,0.010659061232905,0.0137240028108842,0.0119689160456446,0.0106107050224004,0.0103641391490252,0.0127351714956382,0.011496936565572,0.010846372688478,0.00990552533638706,0.0125423634646369,0.0119707822140274,0.0102399265296751,0.0104149101837984,0.0112981779524834,0.0109574381986098,0.0129689183071327,0.0100574565491248,0.0115911584593887,0.0123853495076824,0.0142743292304968,0.0116290750795283,0.010714616895543,0.0107923768001057,0.0101950750804433,0.0139474141616285,0.0121233822701928,0.0106984050909285,0.0125225956878258,0.0146968302129352,0.0110078403004596,0.0297422841998271,0.00655359993881395,0.0101282916948008,0.0129120799466507,0.0110028800469613,0.0101917197866528,0.0124665445837442,0.0093685537474215,0.0117581855060638,0.00945082340216453,0.0109015617503015,0.0119096159121068,0.0137807509922043,0.0131759959844583,0.0122158849067847,0.0081930525534377,0.00805369842013372,0.0147689478949788,0.0089061114577518,0.0122508413150401,0.0134075419956636,0.0123840405751487,0.0117598333291498,0.0101067716312725,0.0122880633719939,0.00879838488572069,0.0124275345779888,0.0106172483719165,0.0125572161252965,0.0159831424434856,0.00783716622833904,0.0139117793115361,0.0119282961970179,0.0108980524694899,0.00727826570039263,0.0102434244849657,0.0137860114123124,0.0103724129867093,0.0141490743390494,0.00894531949589497,0.00986932285479303,0.0107487618010649,0.0104730271193372,0.0131308931421597,0.0116801040197071,0.00876184701924575,0.0129220064610033,0.00994630452576141,0.00613396492070595,0.0164315298990421,0.00688151420099164,0.0126149088375729
