,vgene,Subject_100,Subject_101,Subject_102,Subject_103,Subject_104,Subject_105,Subject_106,Subject_12,Subject_13,Subject_14,Subject_15,Subject_151,Subject_152,Subject_153,Subject_154,Subject_155,Subject_156,Subject_157,Subject_158,Subject_16,Subject_17,Subject_18,Subject_19,Subject_22,Subject_24,Subject_26,Subject_27,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57,Subject_58,Subject_59,Subject_60,Subject_61,Subject_62,Subject_63,Subject_64,Subject_65,Subject_66,Subject_67,Subject_68,Subject_69,Subject_70,Subject_71,Subject_72,Subject_73,Subject_74,Subject_75,Subject_76,Subject_77,Subject_78,Subject_79,Subject_80,Subject_81,Subject_82,Subject_83,Subject_84,Subject_85,Subject_86,Subject_87,Subject_88,Subject_89,Subject_90,Subject_91,Subject_92,Subject_93,Subject_94,Subject_95,Subject_96,Subject_97,Subject_98,Subject_99
1,TRBV1-1,0.000525645431939025,0.000514953261861091,0.000699722523826759,0.00100299552354347,0.000530796923090094,0.000663906605497744,0.000761598050308991,0.000629822856122671,0.000514746364324048,0.000460439348255529,0.000393868160448134,0.000394469907581337,0.000611868525827747,0.000391030567803352,0.000819380671892151,0.000667002638365992,0.000854854674705299,0.000422423218367955,0.000766707841717426,0.00062485354994923,0.000411939459438502,0.000822399476349722,0.000707146635485397,0.000593107885319072,0.000509157455098216,0.000697126707489401,0.000381590060342108,0.000582896907956094,0.000988808901128351,0.000514755309549619,0.000442460278004255,0.00053514739229025,0.000834733956751757,0.000464569534093068,0.000662621792766475,0.000409778485458717,0.000920665116965162,0.000380301427953718,0.000403015697257865,0.000245660006550934,0.000453149781628683,0.000794516959881259,0.000472259703151043,0.000491343936328908,0.000684956790300684,0.000404872430281666,0.000342622730703164,0.000578555924412666,0.000393372705110222,0.000585585585585585,0.000827856814792554,0.000347348962074203,0.000273808505176692,0.000884049879024753,0.000622281886702745,0.000503548985659201,0.000567482514905628,0.000541366791924081,0.00057874784091164,0.000843920236904076,0.000613287904599659,0.000361397462284649,0.000408766846604229,0.000416007675529005,0.000512353070841749,0.000597338016735676,0.00044639120609324,0.000761111068400052,0.000361306484247037,0.000263497172110706,0.000257600877164013,0.000462350776286953,0.000456439111022589,0.000551611789026535,0.000392853582883311,0.000394097516686788,0.000480883364479154,0.000416543977707715,0.000348119564319514,0.000565067525569306,0.000530715761788465,0.000344701005452544,0.000468787475742974,0.00038641438899348,0.000319863524896044,0.000626068361037444,0.000308294796483773,0.000770223798830562
20,TRBV2-1,0.0404494268443079,0.0326088022677561,0.0386343346603932,0.0487361583251994,0.0577669715895228,0.0784752526947894,0.0441146603998027,0.0418113110233878,0.0728567528008916,0.165178902966121,0.0365859757927378,0.0384138552858968,0.0371860942105173,0.0344241737793778,0.0420357744693351,0.0331870868289213,0.0505264105102133,0.0293956863134878,0.0504110405929207,0.0375432841261162,0.0404912256895139,0.0410108800093989,0.0609983574152955,0.0413868671840444,0.0387845157100902,0.0465756005652379,0.0453990414457684,0.0478423846760886,0.0374407407749674,0.051112174265868,0.0325730308031897,0.0379591836734693,0.0528307633303629,0.0436765751370832,0.0388296370561154,0.0453839429276136,0.039100291459178,0.036363068042698,0.0345535074578258,0.0611079266295448,0.0308298110052893,0.0560920242720566,0.0325382966902136,0.0447742695132153,0.0420366595436629,0.056591392970577,0.0282200749139971,0.0376220952502554,0.0322979694722077,0.0455755755755756,0.0557839407118434,0.0410990356650849,0.023564644476769,0.0502396240461568,0.0554250395044119,0.0279642135323616,0.0342184586585304,0.0602456319130416,0.0390452903833644,0.047527364240017,0.0689480408858603,0.0343195370586654,0.0390853240679514,0.0508991012735082,0.0331242217893038,0.0351663611903874,0.0384384677621851,0.0593781953210889,0.0306267463146738,0.0329465571271279,0.0337325046070927,0.0555514457708775,0.0467310660757855,0.0371384236275434,0.0597196080845749,0.043590178491255,0.0304478302420852,0.0451016582759388,0.045237842366741,0.0421775818877022,0.0295932744692842,0.0695400703727247,0.0423816584174606,0.048652267488621,0.0203365862144432,0.0448025774319941,0.0391201099862517,0.045656552507205
37,TRBV4-1,0.02612053454097,0.0162234799070141,0.0213536011581615,0.021917808219178,0.0273874089833098,0.0275334750662041,0.0164505178866742,0.0323689274166352,0.0214000205898546,0.0169916972388492,0.0375862758827649,0.0128108798557367,0.0311880590840931,0.0284238771354989,0.0255863209807832,0.0294370497732191,0.0283301838687423,0.022090249478183,0.0307002598287686,0.0229980820467426,0.0203255775633538,0.021415953710658,0.0328182855870152,0.0226989424584825,0.0206245664782538,0.0292133772962789,0.0319518077193125,0.0343371117009828,0.0232785945975918,0.0263191361800312,0.0226151888161951,0.0181496598639456,0.0206540253353036,0.0188995333187862,0.0292590735971144,0.022323170826894,0.0301021887414355,0.0139044453590202,0.0157298247899433,0.0306358499836226,0.0173525114654708,0.041607368926529,0.0209699182474799,0.0195696535361271,0.0239078630578604,0.0299116959268437,0.0238446900421797,0.0423463036261491,0.0228104409397467,0.036006006006006,0.0217057252536021,0.01756172803165,0.0106271926071703,0.0312790805881258,0.0325054886660794,0.0155479371736416,0.0227066704990161,0.0329172239560113,0.0199466116332802,0.00999565406345066,0.0173296422487224,0.0344032754950484,0.0211116053716773,0.0242146449693053,0.018170661233341,0.0265228290336908,0.0283946656250871,0.0342653740591821,0.015596396569997,0.02155030443334,0.0132367219958124,0.0207271853009442,0.0186227157297216,0.0283074797527541,0.0264150058341689,0.0349948617665546,0.0163013373427237,0.0138752235332983,0.0143024037950932,0.0328775121960408,0.0113422881833552,0.0432264014110358,0.0215914789699759,0.0148455016422611,0.00669468745966633,0.022538460997348,0.0134122123623435,0.0297385939980401
38,TRBV4-2,0.0104320401107899,0.00625300389402752,0.01152370611654,0.0135303422974655,0.0100637384369743,0.0237216068031778,0.0110250384425683,0.0180863303644046,0.0184413480088268,0.00764923433392249,0.0105656697009103,0.010744608911263,0.0150726486151089,0.0141175518789693,0.00762178624986472,0.0110425992351703,0.0134827079396503,0.00767816320445283,0.0111279124249265,0.0086611644840185,0.0150382134427961,0.0181431394680418,0.0158356301678777,0.0178535526157063,0.0159904957275048,0.0121055110692416,0.0121600032562352,0.0127788937513452,0.0115699882636701,0.0180588274479642,0.00583152703482013,0.0133333333333334,0.0134516249111686,0.0187869104014303,0.0201091309283043,0.0121060272561233,0.00634292486660528,0.00453235948383198,0.0148952973360255,0.0166127579430069,0.0111256084317111,0.0145457720347493,0.0117429954758314,0.00889730911730725,0.0148147540512938,0.0262748246134515,0.0237659794148559,0.0168579226251276,0.00516560473289476,0.0139239239239239,0.0122193933964243,0.0111328285980054,0.0230056187787,0.00759003350083752,0.0186754485323936,0.012036890136648,0.0134500725935425,0.0112253996560729,0.0236344467125776,0.0152158313372346,0.0177725724020444,0.0159411539156533,0.0198191807831492,0.0160631432190748,0.00978832669061619,0.0113341059585744,0.0160910080071422,0.0138345390665242,0.0119712881780518,0.008817744652419,0.0050265196800465,0.00512747010902231,0.020763830105064,0.00589760641725565,0.0110292177522912,0.0157239920581868,0.0131969004327951,0.0109019613475916,0.0117239588864894,0.0159443220131473,0.0279494645876385,0.0109319461729235,0.0115561563787803,0.0094491797680615,0.00697526949904883,0.00523365011923437,0.0063464289186074,0.0145185378042474
39,TRBV4-3,5.0542829994137e-06,0.0129964394660179,9.65134515623116e-06,6.73151358082865e-06,4.28062034750075e-06,7.45962478087352e-06,0,0.0116145285751126,0.00986970202899588,1.48528822017913e-05,0.0305341602480745,0.0246449770831769,0,0.0192009492604129,0.0169287138815453,0.0133400527673198,1.49974504334264e-05,0.0230096411887486,0,0.0106832599998264,0.0119753224032063,0.0123192084824632,0,0.0168482850134706,0.0115335232220074,1.88412623645784e-05,0,0,0.0163476910850098,0.0169687573806828,0.0140046135184044,0.0123990929705215,5.64009430237673e-06,0.0255794801044578,0,0.0107283910145335,0.0133165816365458,0.0291321313029752,0.0320743502898457,0,0.0327635105044807,1.30964334046361e-05,0.0292086673545519,0.0288919087605296,0.0139657357543343,0.0116226309727409,0.0382070645103041,0.01475916113381,0.0137059331991035,0.016066066066066,5.67025215611338e-06,0.0475102732870987,0.0219217934457089,0.0109517494881816,0,0.0213353015430672,0.0231193850553111,1.06150351357663e-05,0.024594540030059,0.0247768917457526,8.51788756388416e-06,0.0158133426180161,0.0108924342065715,0.0123528044913838,0.0124394559525299,0,0.0123943308316826,7.68799058989952e-06,0.025122844204644,0.0290882056783641,0.00710714214944814,0.0332199032762176,0.0116848412421783,0.0139604179876995,0.0150339789031762,0,0.0575599125887961,0.0112825963617038,0.00520409246999682,0.0158454351961725,0.0279541611873003,0,0.0150557093953731,0,0.0178730759086649,0.02993872971433,0.00996264355844408,3.61607417291344e-06
40,TRBV5-1,0.0578816489092857,0.0629665231336622,0.0623862950898782,0.0724176231025546,0.0801931415900792,0.0635112453843571,0.0576275858067137,0.0506486679494555,0.0494469833625023,0.0279679771859729,0.0495086025807742,0.0490645427905929,0.0793016080939003,0.0566724647061202,0.0533834237744075,0.0682566033261198,0.0531509643360629,0.0436586820395587,0.0695893853558802,0.0565839603565136,0.0548024871450657,0.0489705320840693,0.0694395723711685,0.0525151795407938,0.0540371020823802,0.0827508243052284,0.0627995481973686,0.067364947270249,0.0598414209276322,0.0722595335711301,0.0395629089028973,0.0833560090702948,0.0770267678875591,0.0499693806443438,0.0599586293524168,0.0965555191308012,0.0519896030966901,0.0532161518705099,0.0345046570702795,0.0804638879790371,0.0386544576656536,0.0793381935652857,0.0609413445511548,0.0561194452682693,0.0619701326027128,0.062797110048515,0.0620054541834699,0.0670765768641471,0.0387679152799417,0.0679379379379379,0.082167623994239,0.0399215815563589,0.0324976469581586,0.0565268471989578,0.065961879990491,0.0515413427513089,0.0491056622963143,0.0689924208649131,0.0500100944390856,0.0497357064168258,0.0617546848381601,0.0584450213092285,0.116414393402022,0.0473161883203034,0.0641930737013935,0.0798543924766042,0.0498493429679435,0.0660629031390066,0.0545211484728779,0.0490575270790397,0.05980303440623,0.0433315147536133,0.0533286859532938,0.0636673420044645,0.0470075697608284,0.0733370581368665,0.0369671477529355,0.05903433615099,0.0565900803625164,0.0473385319545686,0.0429644937065564,0.0724543606915508,0.0565597540501057,0.0564075144119087,0.0268011964018159,0.0511828471338028,0.0483106278381869,0.0632342890617372
41,TRBV5-2,0,0,4.82567257811557e-06,0,8.56124069500152e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1136167487959e-05,0,0,1.88412623645784e-05,0,0,0,0,0,0,0,7.03893233474346e-06,5.76192863275195e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18179271909854e-06,0,0,9.39319932368965e-06,0,5.45101715980202e-06,0,0,0,0,0
42,TRBV5-3,0.000828902411903848,0.0011672273935518,0.00141392206538787,0.00123186698529164,0.000941736476450167,0.00114878221625452,0.000761598050308991,0.00120509412628196,0.0011503462228807,0.000623821052475233,0.00149419825947784,0.000882861221729657,0.000637722125510608,0.000795544948289578,0.00142232116630336,0.00176385142145674,0.000869852125138726,0.000969088559785309,0.000681518081526601,0.000711638765219958,0.000940191236836111,0.00112870132213304,0.0033965310838275,0.000774056053721501,0.000915007600466359,0.000932642487046633,0.000737740783328076,0.000995408565894254,0.000600678304423765,0.0012778043566467,0.000894863483604111,0.00202267573696145,0.000699371693494715,0.00117550169990216,0.000898860866709305,0.000815654318674972,0.000783328331561519,0.000432397513974776,0.000753110141340455,0.000788159187684246,0.00111334213589806,0.000851268171301349,0.00100404794031272,0.000933996131219816,0.00081210445796129,0.00101916163484695,0.000560234465068687,0.000901749233912156,0.000797097323512819,0.00131631631631632,0.00117374219631547,0.00084187968773917,0.000604660448931861,0.000971291643402196,0.000999846177511153,0.000607017955315201,0.00103178639073751,0.00089166295140437,0.00149846340205029,0.00117239218539967,0.00118824531516184,0.000594983626932044,0.00112410882816163,0.000509703097945447,0.00109619726784746,0.000862821579729309,0.00064866222135424,0.00111091464024048,0.000806917814818384,0.000724617223304443,0.000435939945969867,0.000846101920605124,0.000929476007900545,0.000829995308722168,0.0007329357889614,0.000748286424088836,0.000894808285802984,0.000804360784539036,0.000743441781428117,0.00085231018440037,0.00946834491827917,0.00041632718840372,0.000795848505331094,0.00121765464438643,0.000230077272293646,0.000900412923739245,0.000416614589842936,0.000708750537891034
43,TRBV5-4,0.0218597739724643,0.0171749173622622,0.0239305103148752,0.0231564067180506,0.0228841963777391,0.0250121218902689,0.0233339135985145,0.019722877943306,0.0166374977060217,0.0186849258098534,0.0183805141542463,0.0208881208204974,0.0223978351919199,0.0211830697247954,0.0187220753521018,0.0237156493641241,0.0180419328714119,0.0157539012026637,0.0219896068492567,0.0171487585374955,0.0202916531372824,0.0175263398607795,0.0322280687101535,0.020266194861072,0.023177732847297,0.0226566179934056,0.0229157550904115,0.0189576009756798,0.0190599846596003,0.0261132340562113,0.0236194245033507,0.022702947845805,0.0208796291073987,0.0189136111834557,0.0216129943014526,0.0250277088309215,0.0132911488985081,0.0284392533588952,0.0331205627564646,0.024269161480511,0.0193448079191831,0.0251276902256952,0.0253274069370585,0.0205169292331936,0.02566332117911,0.0179819203518202,0.0196359864988124,0.0167701417262513,0.0246013219393274,0.0198248248248248,0.0298765586105614,0.0203817306220491,0.0181683351872451,0.0211997487437186,0.0257163233628393,0.0159756089148865,0.0204146307310206,0.0223605715134917,0.0236075282083492,0.0221895434745258,0.0258304940374787,0.0239932656668003,0.0203842408358079,0.0183080855401729,0.0140599214789131,0.0204064961785684,0.0170256395948999,0.0154951450339425,0.0119231139801522,0.0171743692536443,0.0980006208841654,0.0144345912356786,0.0209879002141114,0.0172700887218587,0.0207391510844518,0.0199992018278143,0.0172691912028781,0.0190102053274539,0.018940064431621,0.0230782995234597,0.0172928799549126,0.00956657206041668,0.0158951660379827,0.0184490404791538,0.0102244095150981,0.0189649472062579,0.0151092224583038,0.020633319230644
44,TRBV5-5,0.00724278753815983,0.00413433904522762,0.00931354807576306,0.0130524048332267,0.0125122532757447,0.0150535228078028,0.0114965039022833,0.00841582194362342,0.00923857822578119,0.00671350275520965,0.0115972291687506,0.0109512360057104,0.0102552612075355,0.0101128595121557,0.00927600760632623,0.010597930809593,0.00893848045832209,0.0103866414869297,0.0107126123439963,0.0069514957431852,0.00926621466407548,0.00888275352771612,0.0123555778278905,0.00853472194298122,0.0157174692660754,0.0110880829015544,0.00935150041211726,0.00929047994834637,0.00826625758933935,0.011439679761638,0.00590112752798934,0.00437188208616781,0.00830785890740093,0.00915765096750124,0.00895979902392929,0.0116299036825427,0.014659430204937,0.0155871489375003,0.0100713215658178,0.00987757943006879,0.0150398849937105,0.0123019164447549,0.00946900547662513,0.00888402955146054,0.0097698627215343,0.0079927402184915,0.0083988869391289,0.0102663751276813,0.00561073700446685,0.0123323323323323,0.0114652498596613,0.00675269931354425,0.00751832520464333,0.00913130467150567,0.0128301939561746,0.003552434624856,0.0120203114520919,0.00971275714922616,0.01280872159537,0.0115217852703071,0.00923764906303236,0.00728524396532348,0.0080551113889657,0.00934330752336764,0.0100266304444961,0.00853631764087221,0.00916496945010183,0.0100020757574593,0.00826187493978225,0.00942002390295775,0.00400932647278347,0.00733750681967395,0.0096765091536789,0.0109909937776128,0.0110116272933561,0.0101866725199294,0.0126855814123362,0.0125106829166697,0.0107150021831227,0.0137735209357519,0.00856659778320495,0.0118630865512888,0.00933214137758105,0.00806977026316617,0.00461276872744822,0.0106713000415034,0.11583552055993,0.0095789804840477
