MIRA Experiment,Repertoire Sample Name
eAM13,ADIRP0000844_20200529_Frblood_Repertorie_TCRB
eAV100,1995BW_20200520_Unenr_gDNA_ImmunoSEQ_TCRB
eDH105,3533BW_20200413_Unenr_immunoSEQ_TCRB
eDH107,1684BW_20200520_Unenr_gDNA_ImmunoSEQ_TCRB
eGK111,4445BW_20200417_PBMC_unsorted_cc1000000_ImmunRACE_052220_001_TCRB
eGK120,ADIRP0000010_20200612_Frblood_Repertorie_TCRB
eHO129,ADIRP0000142_20200511_Frblood_Repertorie_TCRB
eHO131,3282BW_20200413_Unenr_gDNA_ImmunoSEQ_TCRB
eHO132,ADIRP0000026_20200515_Frblood_Repertorie_TCRB
eHO133,D001005699_20200514_Unenr_immunoSEQ_TCRB
eHO134,ADIRP0000178_20200522_Frblood_Repertorie_TCRB
eHO135,ADIRP0000189_20200528_Frblood_Repertorie_TCRB
eHO136,ADIRP0000926_20200605_Unenr_gDNA_ImmunoSEQ_TCRB
eHO138,ADIRP0001369_20200618_Unenr_gDNA_ImmunoSEQ_TCRB
eJL151,eEE225_4_3270BW_20200410_unenriched-1_TCRB
eJL152,eEE225_3_7842BW_20200410_unenriched-1_TCRB
eJL154,ADIRP0000083_20200512_Frblood_Repertorie_TCRB
eJL157,2870BW_20200413_Unenr_gDNA_ImmunoSEQ_TCRB
eJL158,ADIRP0000466_20200518_Frblood_Repertorie_TCRB
eJL160,D001005700_20200514_Unenr_immunoSEQ_TCRB
eJL161,D001005703_20200521_Unenr_immunoSEQ_TCRB
eJL162,6890BW_20200415_Unenr_immumoSEQ_TCRB
eJL164,ADIRP0000466_20200601_Frblood_Repertorie_TCRB
eLH41,3821BW_20200416_PBMC_unsorted_cc1000000_ImmunRACE_050820_002_gDNA_TCRB
eLH42,1588BW_20200417_PBMC_unsorted_cc1000000_ImmunRACE_050820_008_gDNA_TCRB
eLH43,3565BW_20200417_PBMC_unsorted_cc1000000_ImmunRACE_050820_007_gDNA_TCRB
eLH44,6501BW_20200420_PBMC_unsorted_cc1000000_ImmunRACE_052220_007_TCRB
eLH45,3739BW_20200505_PBMC_unsorted_cc1000000_ImmunRACE_052220_008_TCRB
