p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ACTB	0	0.994085904712025	0.999	0.997	0
ADGRG1	0	6.51305550997679	0.335	0.002	0
AQP3	0	-2.72434846045196	0.077	0.394	0
B2M	0	0.858769167465399	1	1	0
C12orf75	0	3.01603613770557	0.546	0.11	0
CALM1	0	0.934350947029094	0.97	0.897	0
CCL4	0	6.17012625964975	0.362	0.005	0
CCL5	0	4.77527069809538	0.982	0.142	0
CCR7	0	-3.67196877306433	0.046	0.412	0
CD27	0	-2.90906060025663	0.082	0.514	0
CD52	0	0.836119594785497	0.979	0.938	0
CD99	0	1.55805006573297	0.911	0.592	0
CFL1	0	0.889893710961603	0.971	0.913	0
CLIC1	0	1.59371865423066	0.846	0.51	0
CST7	0	4.9741164208834	0.935	0.098	0
CTSC	0	2.40267062214835	0.601	0.195	0
CTSW	0	3.05846578814861	0.765	0.213	0
CYBA	0	1.31577358366399	0.908	0.699	0
EEF1A1	0	-0.740225487333193	0.999	0.999	0
EEF1B2	0	-0.956498224559354	0.899	0.974	0
EFHD2	0	3.48317807705343	0.376	0.043	0
EMP3	0	1.04655538732439	0.906	0.732	0
FGFBP2	0	7.3672939722647	0.754	0.011	0
FLNA	0	1.88084889232657	0.624	0.275	0
GNLY	0	6.40958834870654	0.902	0.089	0
GZMA	0	4.46418470687249	0.901	0.087	0
GZMB	0	6.44380335013873	0.571	0.014	0
GZMH	0	7.9828824175014	0.92	0.017	0
GZMM	0	2.13202679662969	0.739	0.313	0
HCST	0	1.58176872499047	0.907	0.638	0
HLA-A	0	0.830805688742561	0.998	0.983	0
HLA-B	0	0.816387418167741	0.999	0.995	0
HLA-C	0	1.11943973620326	0.997	0.982	0
HLA-DPA1	0	2.58114221689391	0.59	0.145	0
HLA-DPB1	0	2.60806303886699	0.579	0.148	0
HLA-DRB1	0	2.68503994661254	0.42	0.087	0
HOPX	0	3.82604359237378	0.616	0.067	0
IFITM2	0	1.56745382429389	0.923	0.708	0
IL32	0	1.1331467843964	0.988	0.877	0
ITGB2	0	1.55510093157533	0.832	0.544	0
KLRG1	0	2.69387813877498	0.478	0.109	0
LDHB	0	-1.63867828373691	0.572	0.909	0
LEF1	0	-2.72788136628532	0.105	0.495	0
LGALS1	0	2.47135770654149	0.727	0.231	0
LSP1	0	1.01767404376931	0.854	0.688	0
LTB	0	-2.66861731828408	0.382	0.958	0
MAL	0	-3.42228519655856	0.069	0.535	0
MATK	0	3.62317031939039	0.365	0.039	0
MYL12A	0	0.755915017232532	0.973	0.922	0
MYL6	0	0.943046611977849	0.935	0.819	0
NACA	0	-0.537305245504825	0.975	0.99	0
NKG7	0	6.76094588702157	0.993	0.092	0
