concat,count,sampleorigin,cluster,prop,condid
Healthy_1053BW|0,19,Healthy_1053BW,Expanded,0.161016949152542,HD_1
Healthy_1053BW|1,63,Healthy_1053BW,Cell,0.533898305084746,HD_1
Healthy_1053BW|10,2,Healthy_1053BW,Expanded,0.0169491525423729,HD_1
Healthy_1053BW|13,1,Healthy_1053BW,Expanded,0.00847457627118644,HD_1
Healthy_1053BW|4,11,Healthy_1053BW,Cell,0.0932203389830508,HD_1
Healthy_1053BW|5,3,Healthy_1053BW,Expanded,0.0254237288135593,HD_1
Healthy_1053BW|6,12,Healthy_1053BW,Cell,0.101694915254237,HD_1
Healthy_1053BW|8,7,Healthy_1053BW,Cell,0.0593220338983051,HD_1
Healthy_7541BW|0,156,Healthy_7541BW,Expanded,0.404145077720207,HD_10
Healthy_7541BW|1,42,Healthy_7541BW,Cell,0.10880829015544,HD_10
Healthy_7541BW|10,1,Healthy_7541BW,Expanded,0.00259067357512953,HD_10
Healthy_7541BW|13,2,Healthy_7541BW,Expanded,0.00518134715025907,HD_10
Healthy_7541BW|2,33,Healthy_7541BW,Expanded,0.0854922279792746,HD_10
Healthy_7541BW|3,15,Healthy_7541BW,Expanded,0.038860103626943,HD_10
Healthy_7541BW|4,27,Healthy_7541BW,Cell,0.0699481865284974,HD_10
Healthy_7541BW|5,68,Healthy_7541BW,Expanded,0.176165803108808,HD_10
Healthy_7541BW|6,4,Healthy_7541BW,Cell,0.0103626943005181,HD_10
Healthy_7541BW|8,36,Healthy_7541BW,Cell,0.0932642487046632,HD_10
Healthy_7541BW|9,2,Healthy_7541BW,Expanded,0.00518134715025907,HD_10
Healthy_BP0219101|0,15,Healthy_BP0219101,Expanded,0.0986842105263158,HD_11
Healthy_BP0219101|1,30,Healthy_BP0219101,Cell,0.197368421052632,HD_11
Healthy_BP0219101|10,1,Healthy_BP0219101,Expanded,0.00657894736842105,HD_11
Healthy_BP0219101|11,2,Healthy_BP0219101,Cell,0.0131578947368421,HD_11
Healthy_BP0219101|12,1,Healthy_BP0219101,Cell,0.00657894736842105,HD_11
Healthy_BP0219101|2,3,Healthy_BP0219101,Expanded,0.0197368421052632,HD_11
Healthy_BP0219101|3,25,Healthy_BP0219101,Expanded,0.164473684210526,HD_11
Healthy_BP0219101|4,10,Healthy_BP0219101,Cell,0.0657894736842105,HD_11
Healthy_BP0219101|6,48,Healthy_BP0219101,Cell,0.315789473684211,HD_11
Healthy_BP0219101|8,16,Healthy_BP0219101,Cell,0.105263157894737,HD_11
Healthy_BP0219101|9,1,Healthy_BP0219101,Expanded,0.00657894736842105,HD_11
Healthy_BP0319250|0,19,Healthy_BP0319250,Expanded,0.0900473933649289,HD_12
Healthy_BP0319250|1,41,Healthy_BP0319250,Cell,0.194312796208531,HD_12
Healthy_BP0319250|11,10,Healthy_BP0319250,Cell,0.0473933649289099,HD_12
Healthy_BP0319250|13,3,Healthy_BP0319250,Expanded,0.014218009478673,HD_12
Healthy_BP0319250|2,40,Healthy_BP0319250,Expanded,0.18957345971564,HD_12
Healthy_BP0319250|3,57,Healthy_BP0319250,Expanded,0.270142180094787,HD_12
Healthy_BP0319250|4,17,Healthy_BP0319250,Cell,0.0805687203791469,HD_12
Healthy_BP0319250|5,8,Healthy_BP0319250,Expanded,0.037914691943128,HD_12
Healthy_BP0319250|6,12,Healthy_BP0319250,Cell,0.0568720379146919,HD_12
Healthy_BP0319250|8,3,Healthy_BP0319250,Cell,0.014218009478673,HD_12
Healthy_BP0319250|9,1,Healthy_BP0319250,Expanded,0.004739336492891,HD_12
Healthy_BP05191345|0,35,Healthy_BP05191345,Expanded,0.115131578947368,HD_13
Healthy_BP05191345|1,52,Healthy_BP05191345,Cell,0.171052631578947,HD_13
Healthy_BP05191345|10,1,Healthy_BP05191345,Expanded,0.00328947368421053,HD_13
Healthy_BP05191345|11,7,Healthy_BP05191345,Cell,0.0230263157894737,HD_13
Healthy_BP05191345|12,2,Healthy_BP05191345,Cell,0.00657894736842105,HD_13
Healthy_BP05191345|13,8,Healthy_BP05191345,Expanded,0.0263157894736842,HD_13
Healthy_BP05191345|2,9,Healthy_BP05191345,Expanded,0.0296052631578947,HD_13
Healthy_BP05191345|3,66,Healthy_BP05191345,Expanded,0.217105263157895,HD_13
Healthy_BP05191345|4,17,Healthy_BP05191345,Cell,0.0559210526315789,HD_13
Healthy_BP05191345|5,2,Healthy_BP05191345,Expanded,0.00657894736842105,HD_13
Healthy_BP05191345|6,101,Healthy_BP05191345,Cell,0.332236842105263,HD_13
Healthy_BP05191345|8,2,Healthy_BP05191345,Cell,0.00657894736842105,HD_13
Healthy_BP05191345|9,2,Healthy_BP05191345,Expanded,0.00657894736842105,HD_13
Healthy_BP08191115|0,8,Healthy_BP08191115,Expanded,0.037914691943128,HD_14
Healthy_BP08191115|1,47,Healthy_BP08191115,Cell,0.222748815165877,HD_14
Healthy_BP08191115|10,1,Healthy_BP08191115,Expanded,0.004739336492891,HD_14
Healthy_BP08191115|11,16,Healthy_BP08191115,Cell,0.0758293838862559,HD_14
Healthy_BP08191115|3,8,Healthy_BP08191115,Expanded,0.037914691943128,HD_14
Healthy_BP08191115|4,8,Healthy_BP08191115,Cell,0.037914691943128,HD_14
Healthy_BP08191115|5,1,Healthy_BP08191115,Expanded,0.004739336492891,HD_14
Healthy_BP08191115|6,105,Healthy_BP08191115,Cell,0.497630331753554,HD_14
Healthy_BP08191115|8,17,Healthy_BP08191115,Cell,0.0805687203791469,HD_14
Healthy_CL2|0,131,Healthy_CL2,Expanded,0.281115879828326,HD_15
Healthy_CL2|1,134,Healthy_CL2,Cell,0.28755364806867,HD_15
Healthy_CL2|10,8,Healthy_CL2,Expanded,0.0171673819742489,HD_15
Healthy_CL2|13,8,Healthy_CL2,Expanded,0.0171673819742489,HD_15
Healthy_CL2|2,15,Healthy_CL2,Expanded,0.0321888412017167,HD_15
Healthy_CL2|3,9,Healthy_CL2,Expanded,0.01931330472103,HD_15
Healthy_CL2|4,58,Healthy_CL2,Cell,0.124463519313305,HD_15
Healthy_CL2|5,16,Healthy_CL2,Expanded,0.0343347639484979,HD_15
Healthy_CL2|6,34,Healthy_CL2,Cell,0.0729613733905579,HD_15
Healthy_CL2|7,1,Healthy_CL2,Expanded,0.00214592274678112,HD_15
Healthy_CL2|8,50,Healthy_CL2,Cell,0.107296137339056,HD_15
Healthy_CL2|9,2,Healthy_CL2,Expanded,0.00429184549356223,HD_15
Healthy_Mix_donor1|0,13,Healthy_Mix_donor1,Expanded,0.0343007915567282,HD_16
Healthy_Mix_donor1|1,267,Healthy_Mix_donor1,Cell,0.704485488126649,HD_16
Healthy_Mix_donor1|10,1,Healthy_Mix_donor1,Expanded,0.00263852242744063,HD_16
Healthy_Mix_donor1|13,1,Healthy_Mix_donor1,Expanded,0.00263852242744063,HD_16
