p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ACTB	0	0.984570041136198	0.999	0.998	0
ARPC2	0	1.0531068831699	0.842	0.721	0
B2M	0	0.816522006388819	1	1	0
C12orf75	0	2.45661717525627	0.548	0.173	0
CALM1	0	0.832658493467623	0.952	0.923	0
CCL4	0	4.61045188204637	0.399	0.021	0
CCL5	0	2.96169155662057	0.99	0.307	0
CCR7	0	-4.22230184760413	0.028	0.438	0
CD74	0	1.65692468217742	0.87	0.737	0
CD8A	0	1.19392597106179	0.873	0.717	0
CD99	0	1.6829488418678	0.881	0.558	0
CFL1	0	0.871170048853314	0.963	0.94	0
CLIC1	0	1.62640161679543	0.837	0.51	0
CST7	0	3.64548592519901	0.938	0.208	0
CTSW	0	1.87403486579927	0.882	0.575	0
CYBA	0	1.25934239535795	0.906	0.748	0
EEF1A1	0	-0.782033448536842	0.998	1	0
EEF1B2	0	-1.05195537681856	0.89	0.979	0
EMP3	0	1.12930403681391	0.876	0.714	0
FCRL6	0	5.20915394232322	0.366	0.011	0
FGFBP2	0	6.44654217056809	0.589	0.02	0
FLNA	0	1.88578570386392	0.621	0.308	0
GNLY	0	4.28661912905507	0.677	0.16	0
GZMA	0	3.20417781714804	0.896	0.181	0
GZMH	0	7.14554662156443	0.833	0.026	0
GZMM	0	1.5660512066587	0.773	0.493	0
HCST	0	1.04667379794183	0.91	0.814	0
HLA-A	0	0.839754901707066	0.995	0.99	0
HLA-B	0	0.858656967108779	0.999	0.997	0
HLA-C	0	0.892726976183535	0.995	0.99	0
HLA-DPA1	0	2.67720503250486	0.616	0.171	0
HLA-DPB1	0	2.22700120599408	0.616	0.234	0
HLA-DRB1	0	3.17628755734661	0.474	0.09	0
HLA-DRB5	0	3.82978752930597	0.325	0.034	0
HOPX	0	2.42264445047288	0.493	0.125	0
IFITM2	0	1.22626883922896	0.862	0.747	0
IL32	0	0.92117059189555	0.976	0.933	0
IL7R	0	-1.69351579724432	0.354	0.88	0
ITGB2	0	1.71754165749841	0.824	0.546	0
KLRD1	0	4.00820224268729	0.618	0.068	0
KLRG1	0	2.02447695780327	0.5	0.155	0
LDHB	0	-1.37628855097194	0.588	0.885	0
LEF1	0	-2.8467211514927	0.08	0.497	0
LGALS1	0	2.50764870945738	0.596	0.206	0
LTB	0	-2.73205526037762	0.315	0.943	0
MAL	0	-4.80370432591777	0.016	0.425	0
MYL6	0	1.01169805737621	0.913	0.826	0
NACA	0	-0.569216720193857	0.965	0.994	0
NKG7	0	4.10731858647336	0.98	0.294	0
NOSIP	0	-1.98782202912099	0.317	0.772	0
NPM1	0	-0.855967121340536	0.76	0.933	0
PABPC1	0	-1.07843229898386	0.752	0.945	0
PFN1	0	1.20455210154171	0.991	0.977	0
PLEK	0	3.71078203558287	0.58	0.074	0
PRF1	0	3.2532563475321	0.702	0.149	0
RACK1	0	-0.64114203716707	0.962	0.995	0
RCAN3	0	-3.31300899565888	0.035	0.38	0
RPL10	0	-0.695992228396298	0.999	1	0
RPL10A	0	-0.719857016319578	0.943	0.988	0
RPL11	0	-0.77581426360377	0.995	1	0
RPL12	0	-0.790207226198087	0.988	0.999	0
RPL13	0	-0.780922612610203	0.997	1	0
RPL14	0	-0.536180688651912	0.992	1	0
RPL18	0	-0.7811749310073	0.989	0.999	0
RPL18A	0	-0.654288409014901	0.992	1	0
RPL19	0	-0.64712251710133	0.997	1	0
RPL22	0	-0.998009147556704	0.93	0.995	0
RPL24	0	-0.530584554423012	0.959	0.996	0
RPL28	0	-0.495774604907403	0.998	1	0
RPL29	0	-0.720288113239883	0.99	1	0
RPL30	0	-0.672377060649643	0.996	1	0
RPL32	0	-0.960419496895412	0.994	1	0
RPL34	0	-0.769443346753075	0.991	0.999	0
RPL35A	0	-0.631067592411897	0.986	0.999	0
RPL36	0	-0.667926314052171	0.972	0.996	0
RPL37	0	-0.681278534978265	0.982	0.998	0
RPL39	0	-0.695309307482232	0.989	0.999	0
RPL4	0	-0.785588311378465	0.833	0.952	0
RPL41	0	-0.347540348072538	0.998	1	0
RPL5	0	-0.883725434273172	0.967	0.995	0
RPL8	0	-0.705905002084089	0.988	0.998	0
RPL9	0	-0.904409827772298	0.95	0.995	0
RPLP0	0	-0.812361622930503	0.972	0.995	0
RPLP1	0	-0.758784911096582	0.997	1	0
RPLP2	0	-0.550638504843867	0.987	0.999	0
RPS12	0	-0.853519177918159	0.997	1	0
RPS13	0	-1.08395620413474	0.985	1	0
RPS14	0	-0.547306052056907	0.994	1	0
RPS15	0	-0.42753751813698	0.994	0.999	0
RPS15A	0	-0.539615868548148	0.995	0.999	0
RPS16	0	-0.547277051162634	0.96	0.99	0
RPS18	0	-0.693634402687451	0.99	0.999	0
RPS2	0	-0.574290021757452	0.976	0.996	0
RPS21	0	-0.680508785824422	0.964	0.998	0
RPS23	0	-0.787039732028417	0.991	0.999	0
RPS25	0	-0.614011715165741	0.984	0.999	0
RPS27A	0	-0.484849293288947	0.995	0.998	0
RPS28	0	-0.744505117102982	0.989	1	0
RPS3A	0	-0.924516361284613	0.993	0.999	0
RPS4X	0	-0.698945897594685	0.991	1	0
RPS5	0	-0.964655463098913	0.963	0.991	0
RPS6	0	-0.795356273726808	0.976	0.997	0
RPS8	0	-0.922915579229894	0.997	1	0
RPS9	0	-0.688455132877223	0.947	0.989	0
RPSA	0	-0.624642485870337	0.964	0.992	0
S100A4	0	1.30490715362488	0.965	0.778	0
S100A6	0	0.849661517068734	0.94	0.867	0
SARAF	0	-0.852277478583927	0.793	0.948	0
SELL	0	-1.59998011066627	0.219	0.617	0
SH3BGRL3	0	1.29973821947093	0.989	0.939	0
SLC9A3R1	0	1.51861733206456	0.682	0.414	0
SPON2	0	4.08483031067779	0.325	0.039	0
SRGN	0	1.6611859526916	0.807	0.457	0
TCF7	0	-2.59913320242488	0.121	0.579	0
TMSB4X	0	0.617261009955962	0.998	0.999	0
TPT1	0	-0.750530167604877	0.988	0.999	0
ZEB2	0	4.29688840214602	0.337	0.025	0
ADGRG1	0	5.86815951895264	0.349	0.006	0
FCGR3A	0	4.96264560332125	0.328	0.016	0
GZMB	0	5.99590634490415	0.607	0.027	0
RPL7A	1.88699348495752e-300	-0.390952957883798	0.995	1	2.84690707075541e-296
CX3CR1	1.06597489315413e-299	5.5375289857086	0.255	0.006	1.60823632130164e-295
NELL2	5.01741664968125e-296	-2.81918468745191	0.04	0.328	7.56977649937411e-292
GAPDH	8.07776220532212e-296	0.816702699240283	0.95	0.891	1.21869198391695e-291
PRSS23	2.01255086810976e-290	6.02898873842883	0.242	0.003	3.03633549471719e-286
LSP1	3.64030297848772e-289	1.01226944012126	0.836	0.725	5.49212510364443e-285
CTSC	1.80343360922811e-288	2.00537916677044	0.528	0.219	2.72084028624244e-284
RPL3	1.65703803751458e-285	-0.491537647954338	0.979	0.996	2.49997328719825e-281
RPL7	1.57090483255619e-283	-0.710997461214189	0.824	0.95	2.37002412087752e-279
MYL12B	5.1412426845702e-283	0.994754980321341	0.832	0.703	7.75659283821107e-279
RPS3	7.82340358406506e-280	-0.361697616957612	0.995	1	1.1803168987279e-275
CD27	1.77381525244408e-277	-1.33871576626407	0.184	0.554	2.67615507136238e-273
GSTP1	1.30902598891131e-268	1.4564220791409	0.652	0.391	1.9749275094705e-264
AQP3	1.37159831083546e-266	-2.63968892684881	0.053	0.33	2.06933037155746e-262
EFHD2	1.04556479249338e-265	3.0339278030366	0.331	0.061	1.57744360243476e-261
EEF2	9.06842334781153e-265	-0.760901457954121	0.791	0.924	1.36815303048433e-260
ACTN1	6.17844060632303e-262	-3.75806466572778	0.019	0.258	9.32141334275955e-258
FGR	8.52181020837302e-261	4.03439565498168	0.253	0.018	1.28568550613724e-256
APMAP	1.88607304629214e-259	2.17492775475236	0.436	0.147	2.84551840494095e-255
RPS24	3.19341865859023e-259	-0.399374886776402	0.989	0.999	4.81791073021509e-255
RPL21	3.374986581222e-254	-0.48664539723991	0.966	0.991	5.09184225508964e-250
TTC38	8.55338108911312e-252	4.28834020570608	0.244	0.017	1.2904486049145e-247
PTPRC	1.1109497445256e-251	0.845332083411032	0.891	0.815	1.67608987956577e-247
MYC	3.3215730120347e-250	-3.0077859465757	0.036	0.285	5.01125720325675e-246
SPINT2	4.20174711096507e-248	-3.51269489460229	0.017	0.245	6.339175866313e-244
TBX21	5.94219806220712e-247	3.88810805504251	0.248	0.02	8.96499421645189e-243
APOBEC3G	4.27332411624116e-246	2.30570690095326	0.397	0.12	6.44716409417304e-242
MYL12A	1.72468830769151e-241	0.647586039046862	0.954	0.939	2.60203724981418e-237
CMC1	5.40048618681113e-241	2.74214550225989	0.358	0.094	8.14771351004195e-237
ANXA1	1.05861459847128e-237	1.06359929842476	0.739	0.458	1.59713184471362e-233
LDLRAP1	1.14842804795608e-237	-1.92520692214894	0.106	0.394	1.73263339595133e-233
AIF1	1.24300515506105e-237	-2.35045344558659	0.059	0.319	1.8753218774406e-233
RPL6	2.24681084745843e-236	-0.386897820391274	0.988	0.998	3.38976352556054e-232
