Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	51	6.100478468899522	4.4977758459430164E-30	CD3G, PTPN22, CD3E, CD3D, PSMD8, PSMD7, PSMD2, TRBC1, IKBKG, HLA-DPA1, NCK1, BTN3A1, PSMA5, PSMA6, ZAP70, PSMA3, PSMA4, IFNG, LCK, PSME1, PSME2, RBCK1, SKAP1, HLA-DQB1, WAS, PIK3R1, PSMA7, PSMB10, PSMB6, UBB, PSMB2, PSMB3, INPP5D, UBC, PSMB1, MAPK1, CSK, FYN, HLA-DQA2, HLA-DQA1, HLA-DRB5, RFTN1, PSMB8, PSMB9, PTPRC, PSMC4, HLA-DPB1, HLA-DRA, CD247, LAT, HLA-DRB1	778	148	16792	7.4375738206072395	1.4496331551474342E-26	1.4496331551474342E-26	1.4078038397801642E-26
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	25	2.9904306220095696	1.716981700235035E-16	PSMB10, PSMA7, PSMD8, PSMB6, PSMD7, PSMB2, PSMB3, PSMD2, PSMB1, B2M, HLA-B, HLA-C, CYBA, HLA-A, HLA-F, PSMB8, PSMB9, HLA-E, PSMA5, PSMA6, PSMA3, PSMA4, PSMC4, PSME1, PSME2	778	63	16792	8.564899824539927	7.156497616733759E-13	2.7669160099287586E-13	2.6870763608678295E-13
GOTERM_BP_DIRECT	GO:0006928~movement of cell or subcellular component	28	3.349282296650718	7.4887816108025635E-16	LSP1, TXN, ITGAL, CORO1A, ACTB, ACTG1, CAPZB, ADGRE5, ARHGDIA, CXCR3, ARHGDIB, CCL4, RAC1, ACTR3, ACTR2, TPM4, TPM3, MSN, ARPC5, MTSS1, IFNG, ARPC2, ABI3, ARPC3, CAPZA1, TLN1, VCL, ARF6	778	86	16792	7.0272015304597355	2.5047741658568157E-12	8.045447710538887E-13	7.813295480604007E-13
GOTERM_BP_DIRECT	GO:0060071~Wnt signaling pathway, planar cell polarity pathway	27	3.2296650717703352	4.098003183122945E-14	ARRB2, PSMB10, PSMA7, PSMD8, CDC42, PSMB6, PSMD7, UBB, PSMB2, PSMB3, PSMD2, UBC, PSMB1, AP2S1, RAC1, AP2B1, PSMB8, RHOA, PSMB9, PSMA5, PSMA6, PSMA3, PSMA4, PSMC4, PSME1, PSME2, PFN1	778	92	16792	6.3343020006706166	1.3203738102873785E-10	3.1386818089565384E-11	3.0481148191231664E-11
GOTERM_BP_DIRECT	GO:0050776~regulation of immune response	37	4.425837320574163	4.869193001794196E-14	ITGB1, IFITM1, SPPL2A, ITGB2, ICAM3, CD3G, SLA2, CD3E, ITGAL, CD3D, FCGR3A, TRBC1, LAIR2, SLAMF7, SLAMF6, ITGB7, B2M, ITGA4, CD300A, CD160, SH2D1A, HLA-B, HLA-C, LILRB1, HLA-A, HLA-F, HLA-E, TYROBP, CLEC2B, CD8A, IRF1, KLRF1, CD226, KLRD1, CD247, CLEC2D, HCST	778	178	16792	4.486467750787095	1.57085122687306E-10	3.1386818089565384E-11	3.0481148191231664E-11
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	22	2.631578947368421	8.905432889654106E-13	PSMB8, PSMB10, PSMA7, PSMB9, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, PPP4C, UBB, PSMB2, PSMC4, PSMB3, PSMD2, UBC, PSMB1, REL, PSME1, PSME2	778	66	16792	7.194515852613538	2.870113369191074E-9	4.783701700559197E-10	4.645667490769558E-10
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	19	2.272727272727273	1.538898849151412E-12	HSPA5, GZMA, CTSW, PSMB8, PSMB10, CTSS, PSMA7, PSMB9, DNAJC3, PSMB6, PSMA6, PSMA3, CASP8, PSMA4, PSMB2, PSMB3, PSMB1, CAPN2, CTSC	778	48	16792	8.543487574978577	4.959810673277332E-9	7.085529986878573E-10	6.881076282634171E-10
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	35	4.186602870813397	3.686830368646825E-12	UBR2, CBLB, PSMB10, PSMA7, UBE2L3, PSMD8, PSMB6, RNF213, PSMD7, UBB, PSMB2, PSMB3, PSMD2, RNF19A, UBC, PSMB1, ARIH2, MIB2, UBE2A, PSMB8, PSMB9, RBX1, PSMA5, RNF167, PSMA6, PSMA3, RNF125, PSMA4, PSMC4, PSME1, PSME2, RNF181, STUB1, RBCK1, RNF166	778	184	16792	4.10556611154577	1.1882648531802431E-8	1.4077966613389573E-9	1.367174542349034E-9
GOTERM_BP_DIRECT	GO:0031295~T cell costimulation	23	2.751196172248804	3.9311728054764556E-12	HLA-DRB5, CD3G, PIK3R1, CD3E, CD3D, SPN, CDC42, LGALS1, LCK, TRBC1, HLA-DPB1, HLA-DRA, CSK, FYN, MAP3K8, PTPN6, CD247, RAC1, HLA-DQA2, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	778	78	16792	6.3643794080812075	1.2670221094523981E-8	1.4077966613389573E-9	1.367174542349034E-9
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	22	2.631578947368421	4.394443910325689E-12	PSMB8, PSMB10, PSMA7, PSMB9, ANAPC11, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, UBB, PSMB2, PSMC4, PSMB3, PSMD2, UBC, PSMB1, PSME1, PSME2, BUB3	778	71	16792	6.687859806654839	1.416342432225548E-8	1.4163292722979696E-9	1.3754609439319408E-9
GOTERM_BP_DIRECT	GO:0006521~regulation of cellular amino acid metabolic process	19	2.272727272727273	5.152157289542365E-12	OAZ1, PSMB8, PSMB10, PSMA7, PSMB9, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, PSMB2, PSMC4, PSMB3, PSMD2, PSMB1, PSME1, PSME2	778	51	16792	8.040929482332778	1.6605579133965875E-8	1.5095820858359131E-9	1.4660229378425094E-9
GOTERM_BP_DIRECT	GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	22	2.631578947368421	1.8740592416822725E-11	PSMB8, PSMB10, PSMA7, PSMB9, ANAPC11, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, UBB, PSMB2, PSMC4, PSMB3, PSMD2, UBC, PSMB1, PSME1, PSME2, BUB3	778	76	16792	6.247869029901231	6.040083810887609E-8	5.0334107799516365E-9	4.8881711887212605E-9
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	19	2.272727272727273	2.2339176957010416E-11	CD74, HLA-DRB5, HLA-B, HLA-C, RAB27A, HLA-A, PSMB8, CTSS, HLA-E, IFNG, CD8A, HLA-DPB1, HLA-DRA, HLA-DQA2, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1, RAB8B	778	55	16792	7.456134610890395	7.199901519427954E-8	5.538397487111121E-9	5.378586451957124E-9
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	22	2.631578947368421	4.2107120284180596E-11	PSMB8, PSMB10, PSMA7, PSMB9, ANAPC11, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, UBB, PSMB2, PSMC4, PSMB3, PSMD2, UBC, PSMB1, PSME1, PSME2, BUB3	778	79	16792	6.010608180664475	1.3571115986543703E-7	9.693660619708147E-9	9.413949034963233E-9
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	20	2.3923444976076556	3.1457914679304134E-10	SP100, HLA-DRB5, HLA-B, HLA-C, HLA-A, HLA-F, HLA-E, OASL, MT2A, IFNG, IRF1, HLA-DPB1, HLA-DRA, HLA-DQA2, B2M, HLA-DQA1, HLA-DRB1, JAK1, HLA-DPA1, HLA-DQB1	778	71	16792	6.079872551504399	1.0138880560672803E-6	6.759257267426481E-8	6.564218196414795E-8
GOTERM_BP_DIRECT	GO:0060337~type I interferon signaling pathway	19	2.272727272727273	3.769562157595652E-10	IFITM3, IFITM1, SP100, IFITM2, HLA-B, IFI6, HLA-C, ISG15, ADAR, HLA-A, IFI35, HLA-F, PSMB8, HLA-E, OASL, BST2, IRF1, XAF1, JAK1	778	64	16792	6.407615681233933	1.2149292366592235E-6	7.593311771206742E-8	7.374205970796495E-8
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	25	2.9904306220095696	1.4896245820607898E-9	ITGB1, SELPLG, ITGAM, B4GALT1, ROCK1, ITGB2, PIK3R1, ITGAL, SPN, INPP5D, BSG, FYN, CD58, CD74, ITGA4, MSN, ATP1B3, CD2, DOK2, LCK, MYH9, PTPN6, CD47, PPIA, CD244	778	122	16792	4.42285810611488	4.8010483543192706E-6	2.824152957636427E-7	2.74266173050016E-7
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	23	2.751196172248804	2.0681440210401465E-9	ICAM3, PSMB8, PSMB10, PSMA7, PSMB9, PSMD8, PSMA5, PSMB6, PSMA6, PSMA3, PSMD7, PSMA4, UBB, PSMB2, PSMC4, PSMB3, PSMD2, UBC, PSMB1, PSME1, PSME2, FYN, IKBKG	778	105	16792	4.72782470314604	6.665605869482505E-6	3.7031267665624397E-7	3.5962726588086993E-7
